selling_price,year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,X5,X.5
3.8,2013,90000,23.4,1248,74,10,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
4,2009,60000,14,2498,112,14,MAHINDRA,XYLO E8,1,0,1,0,0,0,1,0,1
3,2014,90000,22.1,1248,74,9,CHEVROLET,SAIL 1.3 BASE,1,0,1,0,0,0,1,1,0
5,2015,20000,19.1,1197,82,8,HYUNDAI,XCENT 1.2 KAPPA SX,1,0,0,0,0,1,1,1,0
8.5,2018,15000,22.54,1396,88.73,5,HYUNDAI,I20 1.4 ASTA OPTION,1,0,1,0,0,0,1,1,0
5.98,2018,40000,18.6,1197,81.83,5,HYUNDAI,I20 1.2 MAGNA EXECUTIVE,1,0,0,0,0,1,1,1,0
7,2015,31180,18,1497,117.3,8,HONDA,CITY I VTEC CVT SV,0,0,0,0,0,1,0,1,0
9,2018,40000,18.49,1493,100,5,MAHINDRA,TUV 300 MHAWK100 T8 AMT,1,0,1,0,0,0,0,0,1
0.75,2004,50000,16.1,796,37,19,MARUTI,800 STD,1,0,0,0,0,1,1,0,0
3,2015,58000,19.09,1396,69,8,TATA,INDIGO LS TDI BSIII,1,0,1,0,0,0,1,1,0
4.1,2014,56000,23.4,1248,74,9,MARUTI,SWIFT DZIRE ZDI,0,0,1,0,0,0,1,1,0
3,2011,93000,20.5,1248,91.7,12,FIAT,GRANDE PUNTO 1.3 EMOTION PACK 90HP (DIESEL),1,0,1,0,0,0,1,1,0
2.25,2010,86000,12.2,1817,75,13,AMBASSADOR,AVIGO 1800 ISZ MPFI AC,0,0,0,0,0,1,1,1,0
3,2011,120000,17.8,1248,5,12,MARUTI,SWIFT VDI BSIV,1,0,1,0,0,0,1,1,0
5.9,2016,52427,21.4,1197,83.1,7,MARUTI,BALENO ZETA AUTOMATIC,0,0,0,0,0,1,0,1,0
8.5,2020,40000,21,1498,74.96,3,MAHINDRA,BOLERO B6,1,0,1,0,0,0,1,0,1
1.08,2011,70000,26,624,35,12,TATA,NANO CX BSIV,1,0,0,0,0,1,1,0,0
5.5,2018,17000,18.15,1198,82,5,MAHINDRA,KUV100 NXT G80 K8 5STR BSIV,1,0,0,0,0,1,1,1,0
3.25,2012,54325,17.6,1496,88.73,11,TOYOTA,ETIOS G,0,0,0,0,0,1,1,1,0
6.25,2016,22000,15.4,1590,94,7,MARUTI,BALENO VXI - BSIII,0,0,0,0,0,1,1,1,0
6,2016,54000,20.85,1197,83.14,7,MARUTI,SWIFT DZIRE ZXI,1,0,0,0,0,1,1,1,0
4.45,2019,10000,20.51,998,67.04,4,MARUTI,WAGON R LXI OPTIONAL,1,0,0,0,0,1,1,1,0
5.3,2019,20000,20.89,1197,81.8,4,MARUTI,IGNIS 1.2 DELTA BSIV,1,0,0,0,0,1,1,1,0
3.85,2011,61000,14.53,1798,138.1,12,TOYOTA,COROLLA ALTIS GL,0,0,0,0,0,1,1,1,0
4.1,2018,53237,26.6,998,58.16,5,MARUTI,WAGON R LXI CNG,0,1,0,0,0,0,1,1,0
3.5,2018,27263,22.5,999,68,5,DATSUN,REDIGO GOLD 1.0,1,0,0,0,0,1,1,1,0
2.65,2014,90000,25,1396,69.01,9,TATA,INDIGO ELX BS IV,1,0,1,0,0,0,1,1,0
5.2,2014,110000,22.32,1582,126.3,9,HYUNDAI,VERNA 1.6 CRDI,1,0,1,0,0,0,1,1,0
7.5,2016,70000,22.54,1396,88.73,7,HYUNDAI,I20 ASTA OPTION 1.4 CRDI,1,0,1,0,0,0,1,1,0
5.6,2017,70000,26.59,1248,74,6,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
2,2014,190000,19.1,1405,70,9,TATA,VISTA TDI LS,1,0,1,0,0,0,1,1,0
6,2017,40000,25.4,1186,73.97,6,HYUNDAI,XCENT 1.2 CRDI SX,1,0,1,0,0,0,1,1,0
6.55,2019,39000,18.6,1197,81.83,4,HYUNDAI,I20 1.2 SPOTZ,0,0,0,0,0,1,1,1,0
1.25,2007,56000,17.8,1086,63,16,HYUNDAI,SANTRO XING XE,0,0,0,0,0,1,1,1,0
4.25,2009,58000,14.53,1794,138.1,14,TOYOTA,COROLLA ALTIS 1.8 VL AT,0,0,0,0,0,1,0,1,0
2.2,2017,40000,16.8,796,34.2,6,MARUTI,OMNI E MPI STD BS IV,1,0,0,0,0,1,1,0,1
5.5,2018,34000,18.6,1197,81.83,5,HYUNDAI,I20 1.2 SPOTZ,1,0,0,0,0,1,1,1,0
11.5,2017,50000,15.4,1997,120,6,MAHINDRA,SCORPIO 1.99 S10,1,0,1,0,0,0,1,0,1
5,2012,77400,20.54,1598,103.6,11,VOLKSWAGEN,VENTO DIESEL HIGHLINE,1,0,1,0,0,0,1,1,0
9.9,2019,36000,17.3,1497,121,4,MAHINDRA,MARAZZO M2 BSIV,1,0,1,0,0,0,1,0,1
5.51,2013,47876,25,1493,113.42,10,HYUNDAI,VERNA SX OPT DIESEL,0,0,1,0,0,0,1,1,0
16.5,2018,21500,15.1,2179,152.87,5,MAHINDRA,XUV500 W11 OPTION AT BSIV,1,0,1,0,0,0,0,0,1
3.5,2015,75000,24,1120,70,8,HYUNDAI,GRAND I10 CRDI MAGNA,0,0,1,0,0,0,1,1,0
5,2017,58000,18.16,1196,86.8,6,FORD,ASPIRE 1.2 TI-VCT TITANIUM,0,0,0,0,0,1,1,1,0
5.75,2018,30000,21.21,1197,81.8,5,MARUTI,SWIFT DZIRE VXI 1.2,1,0,0,0,0,1,1,1,0
5.45,2018,50000,24,1186,73.97,5,HYUNDAI,GRAND I10 1.2 CRDI ASTA,1,0,1,0,0,0,1,1,0
5.25,2017,19093,18.16,1196,86.8,6,FORD,FIGO 1.2P TITANIUM MT,0,1,0,0,0,1,1,1,0
4,2014,50000,18,1198,86.7,9,HONDA,AMAZE E I-VTECH,1,0,0,0,0,1,1,1,0
1.55,2006,37000,14,1061,64,17,MARUTI,WAGON R LXI BSIII,0,0,0,0,0,1,1,1,0
5.4,2019,3888,23.5,909,45,4,MAHINDRA,SUPRO VX 8 STR,1,0,1,0,0,0,1,0,1
5.45,2016,47000,26.59,1248,74,7,MARUTI,SWIFT DZIRE VDI,0,0,1,0,0,0,1,1,0
5.45,2013,70000,16.8,1497,116.3,10,HONDA,CITY V MT,1,0,0,0,0,1,1,1,0
2.4,2016,25000,25.17,799,53.3,7,RENAULT,KWID RXL,1,0,0,0,0,1,1,1,0
7.25,2018,26000,24.3,1248,88.5,5,MARUTI,VITARA BREZZA LDI OPTION,0,0,1,0,0,0,1,1,0
4.8,2017,30000,18.16,1196,86.8,6,FORD,ASPIRE 1.2 TI-VCT TITANIUM OPT,1,0,0,0,0,1,1,1,0
3.75,2013,15000,18.5,1197,82.9,10,HYUNDAI,I20 MAGNA OPTIONAL 1.2,1,0,0,0,0,1,1,1,0
2.25,2011,160000,17.8,1248,75,12,MARUTI,SWIFT VDI BSIII W/ ABS,1,0,1,0,0,0,1,1,0
4,2017,32100,23.84,1199,84,6,TATA,TIAGO 1.2 REVOTRON XZ,1,0,0,0,0,1,1,1,0
5.5,2016,22000,18.5,1197,82.9,7,HYUNDAI,I20 MAGNA OPTIONAL 1.2,0,0,0,0,0,1,1,1,0
10.5,2016,44000,15.4,2179,120,7,MAHINDRA,SCORPIO S10 7 SEATER,0,0,1,0,0,0,1,0,1
4.5,2016,78000,18.78,1198,74,7,VOLKSWAGEN,POLO 1.2 MPI TRENDLINE,0,0,0,0,0,1,1,1,0
7.75,2012,74352,11.74,1796,186,11,MERCEDES-BENZ,C-CLASS C 200 CGI ELEGANCE,0,0,0,0,0,1,0,1,0
3.5,2014,37000,20.51,998,67.04,9,MARUTI,WAGON R VXI,1,0,0,0,0,1,1,1,0
5.5,2014,69000,25.1,1498,98.6,9,HONDA,CITY I DTEC VX OPTION,0,0,1,0,0,0,1,1,0
10.8,2019,12120,16.8,1497,113.4,4,KIA,SELTOS HTK PLUS G,1,0,0,0,0,1,1,1,0
5.75,2016,52000,21.01,1197,81.8,7,MARUTI,BALENO DELTA,0,0,0,0,0,1,1,1,0
9.5,2016,120000,12.99,2494,100.6,7,TOYOTA,INNOVA 2.5 G (DIESEL) 8 SEATER,1,0,1,0,0,0,1,0,1
2.3,2013,55000,22.74,796,47.3,10,MARUTI,ALTO 800 LXI,1,0,0,0,0,1,1,1,0
2.7,2011,160000,21.9,1396,90,12,HYUNDAI,I20 1.4 CRDI MAGNA,1,0,1,0,0,0,1,1,0
1.65,2012,42000,25.44,936,56.3,11,CHEVROLET,BEAT DIESEL LS,0,0,1,0,0,0,1,1,0
1.3,2011,40000,15.6,1196,70,12,FORD,FIGO PETROL EXI,1,0,0,0,0,1,1,1,0
3.7,2012,46000,19.1,1197,85.8,11,MARUTI,SWIFT DZIRE VXI,0,0,0,0,0,1,1,1,0
5.7,2017,25000,21.4,1197,83.1,6,MARUTI,BALENO DELTA 1.2,0,0,0,0,0,1,1,1,0
3.9,2015,240000,23.59,1364,67.05,8,TOYOTA,ETIOS GD,1,0,1,0,0,0,1,1,0
3.65,2013,90000,22.07,1199,73.9,10,VOLKSWAGEN,POLO DIESEL COMFORTLINE 1.2L,0,0,1,0,0,0,1,1,0
2.8,2012,49566,18.5,1197,82.85,11,HYUNDAI,I20 MAGNA,0,0,0,0,0,1,1,1,0
12.5,2018,14000,22,1582,126.2,5,HYUNDAI,VERNA CRDI 1.6 AT SX OPTION,0,0,1,0,0,0,0,1,0
5.9,2016,11000,18.6,1197,81.83,7,HYUNDAI,I20 2015-2017 SPORTZ 1.2,0,0,0,0,0,1,1,1,0
4.75,2018,5000,23.1,998,67.04,5,MARUTI,CELERIO VXI AMT BSIV,1,0,0,0,0,1,0,1,0
6.85,2017,55000,23,1498,98.96,6,FORD,ECOSPORT 2015-2021 1.5 DIESEL TITANIUM BSIV,0,0,1,0,0,0,1,1,0
3.8,2012,65000,19.08,1582,126.32,11,HYUNDAI,VERNA SX CRDI AT,0,0,1,0,0,0,0,1,0
3.3,2018,22000,23.01,999,67,5,RENAULT,KWID 1.0 RXT OPTIONAL,1,0,0,0,0,1,1,1,0
6.5,2018,7671,21.01,1197,81.8,5,MARUTI,BALENO DELTA,0,1,0,0,0,1,1,1,0
3.25,2016,66000,20.51,998,67.04,7,MARUTI,WAGON R LXI,1,0,0,0,0,1,1,1,0
6.4,2018,45156,21.21,1197,81.8,5,MARUTI,SWIFT DZIRE AMT VXI,0,0,0,0,0,1,0,1,0
9.49,2019,25000,18.27,998,118.35,4,HYUNDAI,VENUE SX OPT TURBO BSIV,1,0,0,0,0,1,1,1,0
7.5,2015,70000,20.45,1461,83.8,8,NISSAN,TERRANO XL PLUS 85 PS,1,0,1,0,0,0,1,1,0
6.6,2015,120000,23.9,1582,126.2,8,HYUNDAI,VERNA 1.6 CRDI SX,1,0,1,0,0,0,1,1,0
4.35,2014,28000,16.1,1197,85,9,MARUTI,SWIFT VXI BSIV,0,0,0,0,0,1,1,1,0
3.85,2013,55000,21.9,1396,88.76,10,HYUNDAI,I20 SPORTZ 1.4 CRDI,0,0,1,0,0,0,1,1,0
10,2011,104000,14.66,2199,194.3,12,HYUNDAI,SANTA FE 4X2,1,0,1,0,0,0,1,0,1
12.5,2019,14000,22,1582,126.2,4,HYUNDAI,VERNA CRDI 1.6 AT SX OPTION,0,0,1,0,0,0,0,1,0
5.5,2017,18000,20.14,1197,81.86,6,HYUNDAI,XCENT 1.2 VTVT SX,1,0,0,0,0,1,1,1,0
1.55,2009,98780,18.9,998,67.1,14,MARUTI,WAGON R LX BS IV,0,0,0,0,0,1,1,1,0
4.15,2015,58000,25.2,1248,74,8,MARUTI,SWIFT VDI BSIV,0,0,1,0,0,0,1,1,0
2.51,2011,30000,20.92,998,67.1,12,MARUTI,ALTO K10 2010-2014 VXI,1,0,0,0,0,1,1,1,0
11.5,2016,46400,15.4,2179,120,7,MAHINDRA,SCORPIO S10 7 SEATER,0,0,1,0,0,0,1,0,1
3.1,2014,32111,19.81,1086,68.05,9,HYUNDAI,I10 MAGNA 1.1L,0,1,0,0,0,1,1,1,0
3.5,2015,35000,19.44,1198,67,8,DATSUN,GO PLUS T BSIV,1,0,0,0,0,1,1,0,1
11.25,2017,30000,15.4,1997,120,6,MAHINDRA,SCORPIO 1.99 S6 PLUS,0,0,1,0,0,0,1,0,1
20.9025,2016,63000,18.59,2993,261.49,7,BMW,5 SERIES 530D M SPORT,0,0,1,0,0,0,0,1,0
2,2017,43890,17.8,1199,76.8,6,CHEVROLET,BEAT LT,1,0,0,0,0,1,1,1,0
4.8,2018,10000,20.62,1198,67,5,DATSUN,GO PLUS ANNIVERSARY EDITION,1,0,0,0,0,1,1,0,1
8.5,2017,25000,28.4,1248,74.02,6,MARUTI,SWIFT DZIRE AMT ZDI PLUS,1,0,1,0,0,0,0,1,0
11,2017,102000,17.01,1582,126.2,6,HYUNDAI,CRETA 1.6 CRDI AT SX PLUS,0,0,1,0,0,0,0,1,0
5.75,2018,35000,22,1197,81.8,5,MARUTI,SWIFT VXI 2018,0,0,0,0,0,1,1,1,0
3.4,2012,49948,17.5,1298,85.8,11,MARUTI,SWIFT DZIRE VXI,0,0,0,0,0,1,1,1,0
5.59,2018,114851,25,1396,69.01,5,TATA,INDIGO ELX BS IV,1,0,1,0,0,0,1,1,0
9.25,2018,55000,23,1498,98.96,5,FORD,ECOSPORT 2015-2021 1.5 DIESEL TITANIUM PLUS BSIV,1,0,1,0,0,0,1,1,0
4,2015,36000,18.9,1197,82,8,HYUNDAI,GRAND I10 MAGNA,0,0,0,0,0,1,1,1,0
5.6,2019,35000,25.4,1186,73.97,4,HYUNDAI,XCENT 1.2 CRDI S,1,0,1,0,0,0,1,1,0
7.25,2016,49625,17.8,1497,117.3,7,HONDA,CITY I VTEC VX OPTION,0,0,0,0,0,1,1,1,0
6,2014,35000,23.4,1248,74,9,MARUTI,SWIFT DZIRE ZDI,1,0,1,0,0,0,1,1,0
5.5,2013,95000,12.05,2179,120,10,MAHINDRA,SCORPIO VLX 2WD AIRBAG SE BSIV,1,0,1,0,0,0,1,0,1
5.85,2017,36000,25.83,1498,99,6,FORD,ASPIRE 1.5 TDCI TITANIUM,0,0,1,0,0,0,1,1,0
4.11,2019,50000,21.79,998,67.05,4,MARUTI,WAGON R VXI,1,0,0,0,0,1,1,1,0
4.5,2015,26500,20.85,1197,83.14,8,MARUTI,SWIFT DZIRE VXI,1,0,0,0,0,1,1,1,0
12.9,2015,80000,13.7,1997,153.86,8,HONDA,CR-V 2.0L 2WD AT,0,0,0,0,0,1,0,1,0
4.55,2015,46000,16.47,1198,74,8,VOLKSWAGEN,POLO 1.2 MPI HIGHLINE,0,0,0,0,0,1,1,1,0
7.1,2019,9000,20.7,1197,81.86,4,HYUNDAI,GRAND I10 NIOS ASTA,1,0,0,0,0,1,1,1,0
4.5,2016,70000,18.49,1493,100,7,MAHINDRA,TUV 300 T4,1,0,1,0,0,0,1,0,1
4.65,2015,33000,17.71,1197,78.9,8,TOYOTA,ETIOS LIVA 1.2 VX,0,0,0,0,0,1,1,1,0
7.7,2016,53000,16.8,1497,116.3,7,HONDA,CITY V MT,0,0,0,0,0,1,1,1,0
3.2,2015,50000,19.09,1405,69.01,8,TATA,INDIGO LS (TDI) BS-III,1,0,1,0,0,0,1,1,0
3.25,2015,50000,19.09,1405,69.01,8,TATA,INDIGO LX (TDI) BS-III,1,0,1,0,0,0,1,1,0
20.9025,2018,11387,10.91,3198,197,5,FORD,ENDEAVOUR 3.2 TITANIUM AT 4X4,1,0,1,0,0,0,0,0,1
7.2,2018,50000,25.8,1498,98.6,5,HONDA,AMAZE VX I-DTEC,1,0,1,0,0,0,1,1,0
3.75,2016,52000,25.32,1198,77,7,MAHINDRA,KUV 100 MFALCON D75 K6 5STR,0,0,1,0,0,0,1,1,0
1.45,2010,60000,14.49,1399,92.7,13,CHEVROLET,AVEO 1.4 LT ABS BSIV,1,0,0,0,0,1,1,1,0
4,2015,35000,19.44,1198,67,8,DATSUN,GO PLUS T BSIV,1,0,0,0,0,1,1,0,1
6,2015,48000,19.87,1461,83.8,8,RENAULT,DUSTER 85PS DIESEL RXL PLUS,1,0,1,0,0,0,1,1,0
6,2018,18000,18.7,1199,88.7,5,HONDA,JAZZ 1.2 V I VTEC,1,0,0,0,0,1,1,1,0
2.7,2012,57413,14.4,998,61.7,11,MARUTI,WAGON R LXI DUO,1,0,0,0,1,0,1,1,0
5,2015,30000,18.6,1197,81.83,8,HYUNDAI,I20 MAGNA 1.2,1,0,0,0,0,1,1,1,0
6.5,2015,55000,23.9,1582,126.2,8,HYUNDAI,VERNA 1.6 CRDI SX,0,0,1,0,0,0,1,1,0
3.8,2015,120000,18.2,1199,82.4,8,CHEVROLET,SAIL 1.2 LS ABS,1,0,0,0,0,1,1,1,0
7.28,2012,165000,13.5,2477,175.56,11,MITSUBISHI,PAJERO SPORT 4X4,1,0,1,0,0,0,1,0,1
6.6,2018,10000,21.21,1197,81.8,5,MARUTI,SWIFT AMT ZXI,1,0,0,0,0,1,0,1,0
1.8,2010,120000,18,1248,75,13,TATA,INDICA VISTA AURA 1.3 QUADRAJET,1,0,1,0,0,0,1,1,0
20.9,2016,68000,22.69,1995,190,7,BMW,3 SERIES 320D LUXURY LINE,0,0,1,0,0,0,0,1,0
2.5,2015,55000,25.44,936,56.3,8,CHEVROLET,BEAT DIESEL LS,0,0,1,0,0,0,1,1,0
12.75,2020,8000,16.8,1497,113.4,3,KIA,SELTOS HTK PLUS G,0,0,0,0,0,1,1,1,0
4.55,2012,80000,14.53,1798,138.1,11,TOYOTA,COROLLA ALTIS G,0,0,0,0,0,1,1,1,0
4.95,2015,65000,28.4,1248,74,8,MARUTI,SWIFT VDI,0,0,1,0,0,0,1,1,0
2.2,2010,47000,21.1,1197,85.8,13,MARUTI,RITZ VXI,1,0,0,0,0,1,1,1,0
8,2018,185000,25.1,1248,88.5,5,MARUTI,S-CROSS 2017-2020 ZETA DDIS 200 SH,1,0,1,0,0,0,1,1,0
12.95,2014,68000,13.01,2199,194.3,9,HYUNDAI,SANTA FE 2WD AT,0,0,1,0,0,0,0,0,1
4.75,2016,25000,18.9,1197,82,7,HYUNDAI,GRAND I10 SPORTZ,1,0,0,0,0,1,1,1,0
3.8,2014,280000,15.3,2956,83.83,9,TATA,SUMO GOLD EX,1,0,1,0,0,0,1,0,1
9,2018,7791,25.1,1248,88.5,5,MARUTI,S-CROSS 2017-2020 ZETA DDIS 200 SH,1,0,1,0,0,0,1,1,0
5.3,2015,70000,20.73,1373,91.1,8,MARUTI,CIAZ VXI PLUS,1,0,0,0,0,1,1,1,0
5.3,2016,9500,23.84,1199,84,7,TATA,TIAGO 1.2 REVOTRON XZ,1,0,0,0,0,1,1,1,0
6.5,2015,9100,17.01,1591,121.3,8,HYUNDAI,VERNA 1.6 VTVT S,1,0,0,0,0,1,1,1,0
4.95,2010,82000,12.8,2354,177.6,13,HONDA,NEW ACCORD 2008-2011 2.4 MT,0,0,0,0,0,1,1,1,0
3.35,2010,86000,17,1497,118,13,HONDA,CITY 1.5 S MT,0,0,0,0,0,1,1,1,0
20.9025,2020,19000,17.01,1968,188,3,AUDI,Q5 40 TDI TECHNOLOGY,0,0,1,0,0,0,0,1,0
12.9,2013,78000,16.55,1968,147.51,10,AUDI,A4 2.0 TDI,0,0,1,0,0,0,0,1,0
3,2011,60000,20,1399,68,12,FORD,FIGO DIESEL TITANIUM,1,0,1,0,0,0,1,1,0
5.5,2019,7883,21.5,1197,81.8,4,MARUTI,WAGON R ZXI AMT 1.2BSIV,0,1,0,0,0,1,0,1,0
3.9,2013,50205,23.4,1248,74,10,MARUTI,SWIFT DZIRE LDI,0,1,1,0,0,0,1,1,0
2.6,2008,220000,13.6,2523,63,15,MAHINDRA,BOLERO DI AC BSIII,1,0,1,0,0,0,1,0,1
3.95,2017,58000,24.7,1047,69,6,TATA,TIGOR 1.05 REVOTORQ XT,0,0,1,0,0,0,1,1,0
5.5,2012,170000,12.05,2179,120,11,MAHINDRA,SCORPIO SLE BSIII,1,0,1,0,0,0,1,0,1
6.5,2018,15000,22,1197,81.8,5,MARUTI,SWIFT DZIRE VXI 1.2 BS IV,1,0,0,0,0,1,1,1,0
3.75,2016,71245,28.4,1248,74,7,MARUTI,SWIFT DDIS LDI,0,0,1,0,0,0,1,1,0
3,2012,20000,21.12,1248,88.8,11,TATA,MANZA ELAN QUADRAJET BS IV,1,0,1,0,0,0,1,1,0
4.5,2016,52000,16.78,1496,88.73,7,TOYOTA,ETIOS VX,0,0,0,0,0,1,1,1,0
3.35,2015,61000,19.4,1198,86.8,8,HONDA,BRIO S MT,1,0,0,0,0,1,1,1,0
13,2019,7000,16.1,1353,138,4,KIA,SELTOS GTK,1,0,0,0,0,1,1,1,0
3.6,2018,20000,23.95,998,67.05,5,MARUTI,ALTO K10 VXI,1,0,0,0,0,1,1,1,0
5.05,2020,8700,21.63,998,67.04,3,MARUTI,CELERIO ZXI,1,0,0,0,0,1,1,1,0
3.1,2019,25000,24.7,796,47.3,4,MARUTI,ALTO 800 LXI,1,0,0,0,0,1,1,1,0
5.45,2015,42000,18.6,1197,81.86,8,HYUNDAI,I20 ASTA OPTION BSIV,0,0,0,0,0,1,1,1,0
3,2009,120000,14,2498,112,14,MAHINDRA,XYLO E4,1,0,1,0,0,0,1,0,1
2,2009,60000,14.4,1399,94,14,CHEVROLET,AVEO 1.4 LS LIMITED EDITION,1,0,0,0,0,1,1,1,0
1.5,2006,120000,13.6,2523,63,17,MAHINDRA,BOLERO DI,1,0,1,0,0,0,1,0,1
5.8,2018,50000,21.4,1197,83.1,5,MARUTI,BALENO DELTA 1.2,1,0,0,0,0,1,1,1,0
2.5,2011,58000,18.9,998,67.1,12,MARUTI,WAGON R VXI BS IV,1,0,0,0,0,1,1,1,0
6.5,2017,36000,17.43,1396,105.5,6,HYUNDAI,VERNA 1.4 VTVT,1,0,0,0,0,1,1,1,0
8,2016,80000,23.65,1248,88.5,7,MARUTI,SX4 S CROSS DDIS 200 ZETA,1,0,1,0,0,0,1,1,0
14.75,2013,71000,15.73,1968,174.33,10,AUDI,Q3 2.0 TDI QUATTRO PREMIUM PLUS,0,0,1,0,0,0,0,1,0
4.1,2018,30000,25.47,1248,88.5,5,MARUTI,ERTIGA VDI,1,0,1,0,0,0,1,0,1
5.31,2015,162828,22.77,1498,98.59,8,FORD,ECOSPORT 2015-2021 1.5 TDCI TITANIUM BSIV,0,0,1,0,0,0,1,1,0
